id,repo,owner
474736846,CosPlace,gmberton
180969461,id-card-detector,mesutpiskin
520154111,Awesome-Differential-Privacy-and-Meachine-Learning,JeffffffFu
557743180,Renate,awslabs
132808324,vel,MillionIntegrals
201498201,gobbli,RTIInternational
244249648,auto_LiRPA,Verified-Intelligence
198003221,DySAT,aravindsankar28
687329834,ArXivQA,taesiri
779225422,360zhinao,Qihoo360
683069767,motionagent,modelscope
319149352,PyNeuraLogic,LukasZahradnik
280574647,awesome-machine-learning-startups-berlin,jrieke
70620646,keras-transfer-learning-for-oxford102,Arsey
56966414,zotero-cli,jbaiter
768179945,MedMamba,YubiaoYue
93880900,CNN-from-Scratch,zishansami102
140664464,MDP-DP-RL,coverdrive
346398641,tensor_holography,liangs111
216525761,robotic-warehouse,semitable
156841423,semantic-embeddings,cvjena
49773298,websauna,websauna
274071592,Hypernets,DataCanvasIO
72523487,painters,inejc
104105715,HDLTex,kk7nc
337969557,maze,enlite-ai
226041990,PEDRA,aqeelanwar
814432322,ComfyUI-DeepFuze,SamKhoze
493386519,jetson_dla_tutorial,NVIDIA-AI-IOT
132565186,awesome-colour,colour-science
428104932,HyperTS,DataCanvasIO
136805886,TorchFusion,johnolafenwa
612857575,Python,sksalahuddin2828
125807618,Hands-On-Data-Structures-and-Algorithms-with-Python-Second-Edition,PacktPublishing
381250685,portal,datature
362618600,UQ360,IBM
77008142,word_prediction,Kyubyong
326423100,tajmeeaton,mobadarah
435803515,MMGEN-FaceStylor,open-mmlab
274197828,MindMaker,krumiaa
65836510,utilities,SpaceNetChallenge
670705110,modelscan,protectai
273761729,watsor,asmirnou
194094333,awesome-edge-machine-learning,Bisonai
161100612,DDLO,revenol
530347014,matgl,materialsvirtuallab
168174352,FaceQnet,javier-hernandezo
456899023,tlbook-code,jindongwang
279285516,K210,LZBUAV
62860862,GeoPyTool,GeoPyTool
616357923,MaskedDenoising,haoyuc
345085109,FastFlowNet,ltkong218
217803141,dl-with-bayes,team-approx-bayes
794901954,kanrl,riiswa
367420635,emblem,GoogleCloudPlatform
